siteid,cluster,cluster_agc_ward,average_hour_count,longitude,latitude,color1,color2,color3,color4,color5,color6
1.0,0,1,6.36,4.456121776137429,50.91618331151478,20.0,20.0,255.0,255.0,20.0,20.0
2.0,3,0,13.04,4.47169,51.27512,52.0,52.0,52.0,20.0,20.0,255.0
3.0,3,0,11.83,4.47222,51.27503,52.0,52.0,52.0,20.0,20.0,255.0
4.0,0,1,3.28,5.19011,51.16023,20.0,20.0,255.0,255.0,20.0,20.0
5.0,0,1,3.33,5.19003,51.16018,20.0,20.0,255.0,255.0,20.0,20.0
6.0,0,1,1.0,3.70298,51.10894,20.0,20.0,255.0,255.0,20.0,20.0
7.0,0,1,5.07,3.70317,51.1089,20.0,20.0,255.0,255.0,20.0,20.0
8.0,0,1,5.63,4.68823,51.06759,20.0,20.0,255.0,255.0,20.0,20.0
9.0,0,1,6.55,4.69524,51.06904,20.0,20.0,255.0,255.0,20.0,20.0
10.0,0,1,5.87,4.01571,50.93549,20.0,20.0,255.0,255.0,20.0,20.0
11.0,3,1,9.27,4.01647,50.93385,52.0,52.0,52.0,255.0,20.0,20.0
12.0,3,0,14.31,4.47803,50.81896,52.0,52.0,52.0,20.0,20.0,255.0
13.0,3,0,15.78,3.70146,51.03018,52.0,52.0,52.0,20.0,20.0,255.0
14.0,0,1,2.53,5.48927,50.97172,20.0,20.0,255.0,255.0,20.0,20.0
15.0,3,1,9.9,2.92743,51.21371,52.0,52.0,52.0,255.0,20.0,20.0
16.0,3,0,12.39,3.27777,50.83332,52.0,52.0,52.0,20.0,20.0,255.0
17.0,3,0,11.99,3.27773,50.83339,52.0,52.0,52.0,20.0,20.0,255.0
18.0,3,0,11.64,2.92765,51.21378,52.0,52.0,52.0,20.0,20.0,255.0
19.0,3,0,11.99,4.01471,50.93433,52.0,52.0,52.0,20.0,20.0,255.0
20.0,3,0,10.06,3.20048,51.17416,52.0,52.0,52.0,20.0,20.0,255.0
21.0,0,1,6.02,5.50161,50.86015,20.0,20.0,255.0,255.0,20.0,20.0
22.0,0,1,5.56,4.935984252796022,50.81330800184882,20.0,20.0,255.0,255.0,20.0,20.0
23.0,3,0,11.93,4.93447,50.81324,52.0,52.0,52.0,20.0,20.0,255.0
24.0,0,1,6.58,4.935044252605416,50.8133795491886,20.0,20.0,255.0,255.0,20.0,20.0
25.0,0,1,8.69,5.597669323604317,51.13679500160176,20.0,20.0,255.0,255.0,20.0,20.0
26.0,3,0,12.57,4.45444,50.86995,52.0,52.0,52.0,20.0,20.0,255.0
